LGA,LGA NAME,Number of Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Income share:Top 1%,Income share:Top 5%,Income share:Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Australia ,," 14,760,008 ", 42 ," 1,040,901,408,310 "," 54,890 "," 70,522 ",5.00 ,1.88 ,0.38 ,0.14 ,0.483 ,9.8 ,22.5 ,33.4 ,25.0 ,25.0 ,25.0 ,25.0 
New South Wales,," 4,603,736 ", 42 ," 341,107,484,589 "," 55,854 "," 74,094 ",5.00 ,1.90 ,0.38 ,0.15 ,0.497 ,11.2 ,24.3 ,35.2 ,24.6 ,24.6 ,24.7 ,26.1 
10050,Albury," 31,816 ", 43 ," 1,985,173,923 "," 53,392 "," 62,395 ",4.38 ,1.72 ,0.39 ,0.15 ,0.437 ,7.5 ,19.2 ,29.5 ,24.7 ,26.9 ,28.5 ,19.9 
10180,Armidale Regional," 15,535 ", 43 ," 909,014,851 "," 48,837 "," 58,514 ",5.74 ,1.88 ,0.33 ,0.11 ,0.477 ,7.0 ,19.5 ,30.7 ,29.4 ,26.6 ,24.2 ,19.7 
10250,Ballina," 26,901 ", 48 ," 1,621,086,399 "," 47,527 "," 60,261 ",5.47 ,1.89 ,0.35 ,0.12 ,0.484 ,8.6 ,21.7 ,32.8 ,29.0 ,28.3 ,23.5 ,19.1 
10300,Balranald," 1,316 ", 43 ," 70,198,150 "," 49,408 "," 53,342 ",4.45 ,1.63 ,0.37 ,0.12 ,0.458 ,6.2 ,17.7 ,28.7 ,27.0 ,29.8 ,29.2 ,13.9 
10470,Bathurst Regional," 23,828 ", 43 ," 1,533,676,431 "," 55,986 "," 64,364 ",4.54 ,1.77 ,0.39 ,0.15 ,0.431 ,6.1 ,17.2 ,27.6 ,23.6 ,25.3 ,27.2 ,23.9 
10500,Bayside," 105,143 ", 38 ," 7,060,158,434 "," 55,000 "," 67,148 ",4.48 ,1.84 ,0.41 ,0.18 ,0.443 ,6.6 ,18.7 ,29.7 ,23.7 ,26.2 ,25.8 ,24.3 
10550,Bega Valley," 20,488 ", 51 ," 1,058,249,151 "," 43,532 "," 51,652 ",5.89 ,1.86 ,0.31 ,0.09 ,0.485 ,6.4 ,19.1 ,30.6 ,32.8 ,28.6 ,23.4 ,15.2 
10600,Bellingen," 7,150 ", 50 ," 367,123,153 "," 41,711 "," 51,346 ",6.60 ,1.93 ,0.29 ,0.09 ,0.498 ,7.3 ,20.0 ,31.6 ,34.6 ,27.8 ,22.3 ,15.3 
10650,Berrigan," 4,757 ", 49 ," 238,065,902 "," 44,099 "," 50,045 ",5.60 ,1.82 ,0.33 ,0.09 ,0.495 ,6.1 ,18.3 ,29.7 ,32.5 ,28.6 ,24.4 ,14.5 
10750,Blacktown," 215,560 ", 39 ," 14,203,611,762 "," 58,934 "," 65,892 ",4.01 ,1.69 ,0.42 ,0.19 ,0.399 ,4.7 ,15.4 ,25.9 ,21.4 ,24.7 ,29.8 ,24.1 
10800,Bland," 3,169 ", 46 ," 187,925,222 "," 48,934 "," 59,301 ",5.52 ,1.98 ,0.36 ,0.09 ,0.540 ,8.5 ,21.1 ,33.0 ,28.3 ,27.3 ,22.7 ,21.8 
10850,Blayney," 4,160 ", 47 ," 260,898,868 "," 54,218 "," 62,716 ",5.39 ,1.82 ,0.34 ,0.11 ,0.485 ,7.8 ,19.2 ,30.1 ,26.6 ,24.0 ,26.1 ,23.3 
10900,Blue Mountains," 45,492 ", 47 ," 3,131,959,254 "," 56,229 "," 68,846 ",5.62 ,1.90 ,0.34 ,0.11 ,0.463 ,6.8 ,18.9 ,29.9 ,26.0 ,23.0 ,23.2 ,27.8 
10950,Bogan," 1,528 ", 46 ," 83,934,344 "," 50,732 "," 54,931 ",6.32 ,1.85 ,0.29 ,0.06 ,0.616 ,6.3 ,19.9 ,32.3 ,27.9 ,25.9 ,25.0 ,21.1 
11150,Bourke," 1,268 ", 42 ," 77,916,464 "," 57,292 "," 61,448 ",4.76 ,1.73 ,0.36 ,0.13 ,0.465 ,4.8 ,15.9 ,26.9 ,24.5 ,23.1 ,27.8 ,24.6 
11200,Brewarrina, 579 , 42 ," 30,700,022 "," 50,721 "," 53,022 ",5.14 ,1.69 ,0.33 ,0.09 ,0.461 ,3.5 ,15.0 ,26.5 ,27.8 ,26.9 ,28.3 ,17.1 
11250,Broken Hill," 8,459 ", 44 ," 541,268,389 "," 56,376 "," 63,987 ",4.83 ,1.81 ,0.37 ,0.15 ,0.420 ,4.6 ,15.1 ,25.8 ,24.2 ,24.4 ,26.1 ,25.3 
11300,Burwood," 24,620 ", 36 ," 1,555,624,068 "," 45,588 "," 63,185 ",5.26 ,2.07 ,0.39 ,0.16 ,0.501 ,9.1 ,22.9 ,34.7 ,29.9 ,28.1 ,21.2 ,20.8 
11350,Byron," 23,058 ", 44 ," 1,469,177,104 "," 42,166 "," 63,717 ",5.30 ,2.00 ,0.38 ,0.15 ,0.554 ,16.0 ,30.4 ,41.5 ,31.8 ,30.7 ,20.3 ,17.1 
