Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
800,NT,ICE," 6,780 "," 7,318 "," 7,089 "
800,NT,BEV, 3 , 3 , 12 
800,NT,HFCEV, -   , -   , -   
800,NT,Hybrid/PHEV, 131 , 411 , 402 
810,NT,ICE," 21,870 "," 22,092 "," 21,890 "
810,NT,BEV, 6 , 16 , 22 
810,NT,HFCEV, -   , -   , -   
810,NT,Hybrid/PHEV, 288 , 375 , 467 
812,NT,ICE," 11,925 "," 11,845 "," 11,742 "
812,NT,BEV, 3 , 5 , 14 
812,NT,HFCEV, -   , -   , -   
812,NT,Hybrid/PHEV, 125 , 161 , 219 
820,NT,ICE," 19,921 "," 19,804 "," 20,445 "
820,NT,BEV, 11 , 18 , 45 
820,NT,HFCEV, -   , -   , -   
820,NT,Hybrid/PHEV, 267 , 358 , 723 
822,NT,ICE," 6,408 "," 6,262 "," 6,408 "
822,NT,BEV, -   , 3 , 3 
822,NT,HFCEV, -   , -   , -   
822,NT,Hybrid/PHEV, 24 , 37 , 41 
828,NT,ICE," 3,738 "," 3,896 "," 3,979 "
828,NT,BEV, -   , 3 , 7 
828,NT,HFCEV, -   , -   , -   
828,NT,Hybrid/PHEV, 29 , 56 , 93 
829,NT,ICE," 1,499 "," 1,598 "," 1,731 "
829,NT,BEV, -   , -   , 3 
829,NT,HFCEV, -   , -   , -   
829,NT,Hybrid/PHEV, 15 , 25 , 44 
830,NT,ICE," 12,056 "," 11,943 "," 11,842 "
830,NT,BEV, -   , 3 , 10 
830,NT,HFCEV, -   , -   , -   
830,NT,Hybrid/PHEV, 84 , 130 , 190 
832,NT,ICE," 11,442 "," 11,655 "," 11,935 "
832,NT,BEV, -   , 4 , 7 
832,NT,HFCEV, -   , -   , -   
832,NT,Hybrid/PHEV, 102 , 161 , 220 
834,NT,ICE," 1,490 "," 1,486 "," 1,557 "
834,NT,BEV, -   , -   , 4 
834,NT,HFCEV, -   , -   , -   
834,NT,Hybrid/PHEV, 8 , 12 , 18 
835,NT,ICE," 2,900 "," 2,879 "," 2,876 "
835,NT,BEV, -   , -   , 3 
835,NT,HFCEV, -   , -   , -   
835,NT,Hybrid/PHEV, 21 , 28 , 34 
836,NT,ICE," 6,656 "," 6,924 "," 7,092 "
836,NT,BEV, 3 , 3 , 4 
836,NT,HFCEV, -   , -   , -   
836,NT,Hybrid/PHEV, 30 , 53 , 76 
837,NT,ICE, 475 , 468 , 455 
837,NT,BEV, -   , -   , -   
837,NT,HFCEV, -   , -   , -   
837,NT,Hybrid/PHEV, 3 , 3 , 3 
838,NT,ICE, 808 , 821 , 839 
838,NT,BEV, -   , -   , -   
838,NT,HFCEV, -   , -   , -   
838,NT,Hybrid/PHEV, 6 , 10 , 11 
839,NT,ICE, 345 , 370 , 366 
839,NT,BEV, -   , -   , -   
839,NT,HFCEV, -   , -   , -   
839,NT,Hybrid/PHEV, 5 , 7 , 6 
840,NT,ICE, 419 , 431 , 448 
840,NT,BEV, -   , -   , -   
840,NT,HFCEV, -   , -   , -   
840,NT,Hybrid/PHEV, -   , 3 , 3 
841,NT,ICE, 595 , 622 , 633 
841,NT,BEV, -   , -   , -   
841,NT,HFCEV, -   , -   , -   
841,NT,Hybrid/PHEV, 3 , 4 , 5 
845,NT,ICE, 429 , 393 , 379 
845,NT,BEV, -   , -   , 3 
845,NT,HFCEV, -   , -   , -   
