,Year,Index Type,Value
0,1972,Automotive Fuel,100.0
1,1972,Automotive Fuel,100.0
2,1973,Automotive Fuel,98.55
3,1973,Automotive Fuel,98.55
4,1973,Automotive Fuel,101.45
5,1973,Automotive Fuel,113.04
6,1974,Automotive Fuel,114.49
7,1974,Automotive Fuel,115.94
8,1974,Automotive Fuel,120.29
9,1974,Automotive Fuel,120.29
10,1975,Automotive Fuel,134.78
11,1975,Automotive Fuel,137.68
12,1975,Automotive Fuel,136.23
13,1975,Automotive Fuel,150.72
14,1976,Automotive Fuel,153.62
15,1976,Automotive Fuel,149.28
16,1976,Automotive Fuel,152.17
17,1976,Automotive Fuel,152.17
18,1977,Automotive Fuel,157.97
19,1977,Automotive Fuel,155.07
20,1977,Automotive Fuel,157.97
21,1977,Automotive Fuel,172.46
22,1978,Automotive Fuel,171.01
23,1978,Automotive Fuel,171.01
24,1978,Automotive Fuel,171.01
25,1978,Automotive Fuel,207.25
26,1979,Automotive Fuel,213.04
27,1979,Automotive Fuel,234.78
28,1979,Automotive Fuel,253.62
29,1979,Automotive Fuel,281.16
30,1980,Automotive Fuel,273.91
31,1980,Automotive Fuel,313.04
32,1980,Automotive Fuel,301.45
33,1980,Automotive Fuel,308.7
34,1981,Automotive Fuel,331.88
35,1981,Automotive Fuel,363.77
36,1981,Automotive Fuel,342.03
37,1981,Automotive Fuel,356.52
38,1982,Automotive Fuel,349.28
39,1982,Automotive Fuel,359.42
40,1982,Automotive Fuel,404.35
41,1982,Automotive Fuel,404.35
42,1983,Automotive Fuel,420.29
43,1983,Automotive Fuel,401.45
44,1983,Automotive Fuel,430.43
45,1983,Automotive Fuel,450.72
46,1984,Automotive Fuel,449.28
47,1984,Automotive Fuel,465.22
48,1984,Automotive Fuel,469.57
49,1984,Automotive Fuel,465.22
50,1985,Automotive Fuel,475.36
51,1985,Automotive Fuel,520.29
52,1985,Automotive Fuel,533.33
53,1985,Automotive Fuel,514.49
54,1986,Automotive Fuel,527.54
55,1986,Automotive Fuel,468.12
56,1986,Automotive Fuel,497.1
57,1986,Automotive Fuel,530.43
58,1987,Automotive Fuel,542.03
59,1987,Automotive Fuel,526.09
60,1987,Automotive Fuel,523.19
61,1987,Automotive Fuel,544.93
62,1988,Automotive Fuel,547.83
63,1988,Automotive Fuel,514.49
64,1988,Automotive Fuel,511.59
65,1988,Automotive Fuel,498.55
66,1989,Automotive Fuel,498.55
67,1989,Automotive Fuel,540.58
68,1989,Automotive Fuel,549.28
69,1989,Automotive Fuel,573.91
70,1990,Automotive Fuel,611.59
71,1990,Automotive Fuel,611.59
72,1990,Automotive Fuel,644.93
73,1990,Automotive Fuel,778.26
74,1991,Automotive Fuel,657.97
75,1991,Automotive Fuel,621.74
76,1991,Automotive Fuel,656.52
77,1991,Automotive Fuel,653.62
78,1992,Automotive Fuel,646.38
