,Vehicle,Cost per km,Cost per 100 km
0,Tesla Model 3,0.0399208,3.99208
1,Hyundai IONIQ 6 Standard Range 2WD,0.0427928,4.27928
2,Hyundai IONIQ 6 Long Range 2WD,0.0427928,4.27928
3,Tesla Model 3 Long Range Dual Motor,0.04308,4.308
4,Dacia Spring Electric 45,0.043654399999999996,4.3654399999999995
5,Opel Corsa Electric 51 kWh,0.0439416,4.394159999999999
6,Renault Megane E-Tech EV40 130hp,0.0442288,4.42288
7,Citroen e-C4 54 kWh,0.0442288,4.42288
8,Citroen e-C4 X 54 kWh,0.0442288,4.42288
9,Lancia Ypsilon,0.044516,4.4516
10,Peugeot e-208 51 kWh,0.044516,4.4516
11,BMW i4 eDrive35,0.0448032,4.48032
12,Dacia Spring Electric 65,0.0448032,4.48032
13,Renault 5 E-Tech 40kWh 95hp,0.045090399999999996,4.50904
14,Renault 5 E-Tech 40kWh 120hp,0.045090399999999996,4.50904
15,Opel Corsa Electric 50 kWh,0.045090399999999996,4.50904
16,Fiat 500e Hatchback 24 kWh,0.0453776,4.53776
17,Fiat 500e 3+1 24 kWh,0.0453776,4.53776
18,Fiat 500e Cabrio 24 kWh,0.0453776,4.53776
19,Renault Twingo Electric,0.0453776,4.53776
20,BMW i4 eDrive40,0.0453776,4.53776
21,Renault Megane E-Tech EV60 130hp,0.0453776,4.53776
22,Renault Megane E-Tech EV60 220hp,0.0453776,4.53776
23,Lucid Air Touring,0.0456648,4.566479999999999
24,Fiat 500e Hatchback 42 kWh,0.0456648,4.566479999999999
25,Fiat 500e 3+1 42 kWh,0.0456648,4.566479999999999
26,Opel Astra Electric,0.0456648,4.566479999999999
27,Alfa Romeo Junior Elettrica 54 kWh,0.0456648,4.566479999999999
28,Citroen e-C4,0.045952,4.5952
29,Peugeot e-208 50 kWh,0.045952,4.5952
30,Mini Cooper E,0.045952,4.5952
31,Skoda Enyaq Coupe 85,0.045952,4.5952
32,Skoda Enyaq Coupe 60,0.0462392,4.62392
33,Tesla Model 3 Performance,0.0462392,4.62392
34,Fiat 500e Cabrio 42 kWh,0.046526399999999996,4.65264
35,Citroen e-C4 X,0.046526399999999996,4.65264
36,Renault 5 E-Tech 52kWh 150hp,0.0468136,4.68136
37,Volkswagen ID.3 Pure,0.0468136,4.68136
38,Lucid Air Pure RWD,0.0468136,4.68136
39,Tesla Model Y Long Range RWD,0.0468136,4.68136
40,Mini Cooper SE,0.0468136,4.68136
41,BMW iX2 eDrive20,0.0471008,4.71008
42,Volkswagen ID.7 Pro,0.0471008,4.71008
43,Skoda Enyaq Coupe 85x,0.0471008,4.71008
44,Opel Astra Sports Tourer Electric,0.0471008,4.71008
45,Jeep Avenger Electric,0.0471008,4.71008
46,Alfa Romeo Junior Elettrica 54 kWh Veloce,0.0471008,4.71008
47,Volkswagen ID.3 Pro,0.0471008,4.71008
48,Hyundai Kona Electric 48 kWh,0.0471008,4.71008
49,Tesla Model Y,0.0471008,4.71008
50,Tesla Model Y,0.0471008,4.71008
51,BYD SEAL 82.5 kWh RWD Design,0.047388,4.7388
52,Renault Zoe ZE50 R110,0.047388,4.7388
53,Tesla Model S Dual Motor,0.047388,4.7388
54,Volkswagen ID.7 Pro S,0.047388,4.7388
55,Polestar 2 Standard Range Single Motor,0.047388,4.7388
56,Volkswagen ID.3 Pro,0.0476752,4.76752
57,CUPRA Born 150 kW - 58 kWh,0.0476752,4.76752
58,BMW iX1 eDrive20,0.0476752,4.76752
59,BMW i4 xDrive40,0.0476752,4.76752
60,Nissan Leaf,0.0476752,4.76752
61,Mini Aceman SE,0.0476752,4.76752
62,Citroen e-C3,0.0476752,4.76752
63,Fiat 600e,0.047962399999999995,4.796239999999999
64,XPENG P7 RWD Long Range,0.047962399999999995,4.796239999999999
65,Volkswagen ID.7 Tourer Pro,0.047962399999999995,4.796239999999999
66,Mini Aceman E,0.047962399999999995,4.796239999999999
67,Hyundai Kona Electric 65 kWh,0.0482496,4.82496
68,Renault Zoe ZE50 R135,0.0482496,4.82496
69,Mercedes-Benz EQA 250+,0.0482496,4.82496
70,Abarth 500e Hatchback,0.0482496,4.82496
71,Abarth 500e Convertible,0.0482496,4.82496
72,Mini Countryman E,0.0482496,4.82496
73,Polestar 2 Long Range Single Motor,0.0482496,4.82496
74,CUPRA Born 170 kW - 58 kWh,0.0482496,4.82496
75,Hyundai IONIQ 6 Long Range AWD,0.0482496,4.82496
76,Kia Niro EV,0.0482496,4.82496
77,Mercedes-Benz EQA 250,0.0482496,4.82496
78,BYD SEAL 82.5 kWh AWD Excellence,0.0482496,4.82496
79,Lucid Air Grand Touring,0.0482496,4.82496
80,Volkswagen ID.7 Tourer Pro S,0.0485368,4.85368
81,Volkswagen ID.3 Pro S - 4 Seats,0.0485368,4.85368
82,Kia EV3 Standard Range,0.0485368,4.85368
83,Skoda Enyaq Coupe RS,0.0485368,4.85368
84,Volkswagen ID.5 Pro,0.0485368,4.85368
85,Peugeot e-2008 54 kWh,0.0485368,4.85368
86,MG MG4 Electric 51 kWh,0.0485368,4.85368
87,Peugeot e-308,0.0485368,4.85368
88,Peugeot e-308 SW,0.0485368,4.85368
89,DS 3 E-Tense,0.0485368,4.85368
90,BYD DOLPHIN 44.9 kWh Active,0.0485368,4.85368
91,Mercedes-Benz EQE 300,0.048824,4.8824
92,Tesla Model S Plaid,0.048824,4.8824
93,Porsche Taycan,0.048824,4.8824
94,Mercedes-Benz EQB 250+,0.048824,4.8824
95,BMW iX1 xDrive30,0.048824,4.8824
96,BMW iX2 xDrive30,0.048824,4.8824
97,Kia e-Soul 39.2 kWh,0.048824,4.8824
98,Mercedes-Benz EQS 450+,0.0491112,4.91112
99,Volkswagen ID.3 Pro S,0.0491112,4.91112
100,CUPRA Tavascan Endurance,0.0491112,4.91112
101,Skoda Enyaq 85,0.0491112,4.91112
102,CUPRA Born 170 kW - 77 kWh,0.0491112,4.91112
103,MG MG5 Electric Long Range,0.0491112,4.91112
104,MG MG4 Electric 64 kWh,0.0491112,4.91112
105,Aiways U6,0.0491112,4.91112
106,Peugeot e-2008 50 kWh,0.0491112,4.91112
107,CUPRA Born VZ,0.049398399999999995,4.939839999999999
108,Volkswagen ID.3 GTX,0.049398399999999995,4.939839999999999
109,Volkswagen ID.3 GTX Performance,0.049398399999999995,4.939839999999999
110,Tesla Model Y Long Range Dual Motor,0.049398399999999995,4.939839999999999
111,BYD DOLPHIN 44.9 kWh Boost,0.049685599999999996,4.96856
112,BMW i5 eDrive40 Sedan,0.049685599999999996,4.96856
113,BYD DOLPHIN 60.4 kWh,0.049685599999999996,4.96856
114,Mercedes-Benz EQE 350+,0.049685599999999996,4.96856
115,Kia e-Soul 64 kWh,0.049685599999999996,4.96856
116,MG Cyberster Trophy,0.049685599999999996,4.96856
117,Volkswagen ID.4 Pro,0.049685599999999996,4.96856
118,Skoda Enyaq 60,0.049685599999999996,4.96856
119,Porsche Taycan Plus,0.049685599999999996,4.96856
