,Model,Fuel,Veh Class,L/100km
0,AUDI Q4 40 e-tron,Electricity,standard SUV,7.127714636363637
1,AUDI Q4 40 e-tron,Electricity,standard SUV,7.127714636363637
2,AUDI Q4 50 e-tron quattro,Electricity,standard SUV,2.529189064516129
3,AUDI Q4 50 e-tron quattro,Electricity,standard SUV,2.529189064516129
4,AUDI Q4 Sportback 50 e-tron quattro,Electricity,standard SUV,2.4759429789473684
5,AUDI Q4 Sportback 50 e-tron quattro,Electricity,standard SUV,2.4759429789473684
6,AUDI Q5 Plug-In Hybrid quattro,Gasoline/Electricity,small SUV,
7,AUDI Q5 Plug-In Hybrid quattro,Gasoline/Electricity,small SUV,
8,AUDI Q8 Sportback e-tron quattro,Electricity,standard SUV,2.703615896551724
9,AUDI Q8 Sportback e-tron quattro,Electricity,standard SUV,2.703615896551724
10,AUDI Q8 Sportback e-tron ultra quattro,Electricity,standard SUV,2.7350532906976746
11,AUDI Q8 Sportback e-tron ultra quattro,Electricity,standard SUV,2.7350532906976746
12,AUDI Q8 e-tron quattro,Electricity,standard SUV,2.9038837407407407
13,AUDI Q8 e-tron quattro,Electricity,standard SUV,2.9038837407407407
14,AUDI RS e-tron GT,Electricity,midsize car,2.767230388235294
15,AUDI RS e-tron GT,Electricity,midsize car,2.767230388235294
16,AUDI SQ8 Sportback e-tron (20 in.wheels),Electricity,standard SUV,3.222117575342466
17,AUDI SQ8 Sportback e-tron (20 in.wheels),Electricity,standard SUV,3.222117575342466
18,AUDI SQ8 Sportback e-tron (21/22 in.wheels),Electricity,standard SUV,3.7335648095238096
19,AUDI SQ8 Sportback e-tron (21/22 in.wheels),Electricity,standard SUV,3.7335648095238096
20,AUDI SQ8 e-tron (20 in. wheels),Electricity,standard SUV,3.222117575342466
21,AUDI SQ8 e-tron (20 in. wheels),Electricity,standard SUV,3.222117575342466
22,AUDI SQ8 e-tron (21/22 in.wheels),Electricity,standard SUV,3.7335648095238096
23,AUDI SQ8 e-tron (21/22 in.wheels),Electricity,standard SUV,3.7335648095238096
24,AUDI e-tron GT,Electricity,midsize car,2.767230388235294
25,AUDI e-tron GT,Electricity,midsize car,2.767230388235294
26,BMW 330e,Gasoline/Electricity,small car,
27,BMW 330e,Gasoline/Electricity,small car,
28,BMW 330e,Gasoline/Electricity,small car,
29,BMW 330e,Gasoline/Electricity,small car,
30,BMW 750e xDrive,Gasoline/Electricity,large car,
31,BMW 750e xDrive,Gasoline/Electricity,large car,
32,BMW X5 xDrive50e,Gasoline/Electricity,standard SUV,
33,BMW X5 xDrive50e,Gasoline/Electricity,standard SUV,
