,Unnamed: 0,Postcode,LGA code,Local Government Area,Population in 2021,Population in 2022,Population in 2023,Number of Earners,Median Age of Earners,Mean Income,Lat_precise,Long_precise,State,Fuel Type,Registrations_2021,Registrations_2022,Registrations
1688,1688,2784,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.7279709,150.4167407,NSW,Hybrid/PHEV,10.0,11.0,15.0
1690,1690,2784,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.7279709,150.4167407,NSW,BEV,3.0,4.0,5.0
1694,1694,2783,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.7256417,150.4370338,NSW,BEV,3.0,4.0,9.0
1726,1726,2778,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.735556,150.478333,NSW,BEV,3.0,3.0,14.0
1730,1730,2778,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.715556,150.496111,NSW,BEV,3.0,3.0,14.0
1778,1778,2773,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.774,150.637,NSW,BEV,6.0,15.0,22.0
1782,1782,2773,10900,Blue Mountains,78372,77913,78446,45492,47,68846,-33.766667,150.619444,NSW,BEV,6.0,15.0,22.0
2660,2660,2556,11450,Camden,120083,127808,134811,66890,38,72912,-33.9404662,150.7330562,NSW,Hybrid/PHEV,7.0,14.0,19.0
2664,2664,2556,11450,Camden,120083,127808,134811,66890,38,72912,0.0,0.0,NSW,Hybrid/PHEV,7.0,14.0,19.0
6062,6062,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5859558,151.1228434,NSW,BEV,3.0,8.0,14.0
6066,6066,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-33.0173721,150.376515,NSW,BEV,3.0,8.0,14.0
6070,6070,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5997067,151.1985879,NSW,BEV,3.0,8.0,14.0
6074,6074,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4970451,151.287575,NSW,BEV,3.0,8.0,14.0
6078,6078,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5205427,151.1927601,NSW,BEV,3.0,8.0,14.0
6082,6082,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5762016,151.0387662,NSW,BEV,3.0,8.0,14.0
6086,6086,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.3641,151.2439173,NSW,BEV,3.0,8.0,14.0
6090,6090,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5410449,151.1607111,NSW,BEV,3.0,8.0,14.0
6094,6094,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5645,151.168,NSW,BEV,3.0,8.0,14.0
6098,6098,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5694741,151.1788155,NSW,BEV,3.0,8.0,14.0
6102,6102,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5425226,151.2393885,NSW,BEV,3.0,8.0,14.0
6106,6106,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5972436,151.2510477,NSW,BEV,3.0,8.0,14.0
6110,6110,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5765186,151.2510477,NSW,BEV,3.0,8.0,14.0
6114,6114,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5353824,151.1434823,NSW,BEV,3.0,8.0,14.0
6118,6118,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4952479,151.3258763,NSW,BEV,3.0,8.0,14.0
6122,6122,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5586775,151.1898463,NSW,BEV,3.0,8.0,14.0
6126,6126,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4303888,151.0542315,NSW,BEV,3.0,8.0,14.0
6130,6130,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.966667,150.666667,NSW,BEV,3.0,8.0,14.0
6134,6134,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5151396,151.1607111,NSW,BEV,3.0,8.0,14.0
6138,6138,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.6165279,151.1521394,NSW,BEV,3.0,8.0,14.0
6142,6142,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.2479309,151.2760425,NSW,BEV,3.0,8.0,14.0
6146,6146,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4140456,151.2104248,NSW,BEV,3.0,8.0,14.0
6150,6150,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5550272,151.2818024,NSW,BEV,3.0,8.0,14.0
6154,6154,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4373423,151.3669576,NSW,BEV,3.0,8.0,14.0
6158,6158,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.6937112,150.9983817,NSW,BEV,3.0,8.0,14.0
6162,6162,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4467172,151.1461455,NSW,BEV,3.0,8.0,14.0
6166,6166,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5470389,151.1432325,NSW,BEV,3.0,8.0,14.0
6170,6170,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5507569,151.1048306,NSW,BEV,3.0,8.0,14.0
6174,6174,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5652455,151.1228434,NSW,BEV,3.0,8.0,14.0
6178,6178,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4823459,150.9563762,NSW,BEV,3.0,8.0,14.0
6182,6182,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5101865,150.9148457,NSW,BEV,3.0,8.0,14.0
6186,6186,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5402273,151.1781916,NSW,BEV,3.0,8.0,14.0
6190,6190,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.4321711,150.9332884,NSW,BEV,3.0,8.0,14.0
6194,6194,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.8483182,150.835928,NSW,BEV,3.0,8.0,14.0
6198,6198,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.323881,151.0689898,NSW,BEV,3.0,8.0,14.0
6202,6202,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5996269,151.125756,NSW,BEV,3.0,8.0,14.0
6206,6206,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.3927299,151.1727287,NSW,BEV,3.0,8.0,14.0
6210,6210,2330,13800,Hawkesbury,67605,67862,68156,39681,43,68945,-32.5607152,151.1461455,NSW,BEV,3.0,8.0,14.0
