,Postcode,Latitude,Longitude,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
0,800,-12.458684,130.83668,NT,ICE,6780,7318,7089
1,800,-12.458684,130.83668,NT,BEV,3,3,12
2,800,-12.458684,130.83668,NT,HFCEV,0,0,0
3,800,-12.458684,130.83668,NT,Hybrid/PHEV,131,411,402
4,810,-12.381806,130.866242,NT,ICE,21870,22092,21890
5,810,-12.381806,130.866242,NT,BEV,6,16,22
6,810,-12.381806,130.866242,NT,HFCEV,0,0,0
7,810,-12.381806,130.866242,NT,Hybrid/PHEV,288,375,467
8,812,-12.404778,130.916098,NT,ICE,11925,11845,11742
9,812,-12.404778,130.916098,NT,BEV,3,5,14
10,812,-12.404778,130.916098,NT,HFCEV,0,0,0
11,812,-12.404778,130.916098,NT,Hybrid/PHEV,125,161,219
12,820,-12.428017,130.873315,NT,ICE,19921,19804,20445
13,820,-12.428017,130.873315,NT,BEV,11,18,45
14,820,-12.428017,130.873315,NT,HFCEV,0,0,0
15,820,-12.428017,130.873315,NT,Hybrid/PHEV,267,358,723
16,822,-11.75841975,130.6254299,NT,ICE,6408,6262,6408
17,822,-11.75841975,130.6254299,NT,BEV,0,3,3
18,822,-11.75841975,130.6254299,NT,HFCEV,0,0,0
19,822,-11.75841975,130.6254299,NT,Hybrid/PHEV,24,37,41
20,828,-12.432024,130.932068,NT,ICE,3738,3896,3979
21,828,-12.432024,130.932068,NT,BEV,0,3,7
22,828,-12.432024,130.932068,NT,HFCEV,0,0,0
23,828,-12.432024,130.932068,NT,Hybrid/PHEV,29,56,93
24,829,-12.45763297,130.9597671,NT,ICE,1499,1598,1731
25,829,-12.45763297,130.9597671,NT,BEV,0,0,3
26,829,-12.45763297,130.9597671,NT,HFCEV,0,0,0
27,829,-12.45763297,130.9597671,NT,Hybrid/PHEV,15,25,44
28,830,-12.475071,130.974879,NT,ICE,12056,11943,11842
29,830,-12.475071,130.974879,NT,BEV,0,3,10
30,830,-12.475071,130.974879,NT,HFCEV,0,0,0
31,830,-12.475071,130.974879,NT,Hybrid/PHEV,84,130,190
32,832,-12.51070433,131.0058233,NT,ICE,11442,11655,11935
33,832,-12.51070433,131.0058233,NT,BEV,0,4,7
34,832,-12.51070433,131.0058233,NT,HFCEV,0,0,0
35,832,-12.51070433,131.0058233,NT,Hybrid/PHEV,102,161,220
36,834,-12.54686461,131.0234875,NT,ICE,1490,1486,1557
37,834,-12.54686461,131.0234875,NT,BEV,0,0,4
38,834,-12.54686461,131.0234875,NT,HFCEV,0,0,0
39,834,-12.54686461,131.0234875,NT,Hybrid/PHEV,8,12,18
40,835,-12.452568,131.013741,NT,ICE,2900,2879,2876
41,835,-12.452568,131.013741,NT,BEV,0,0,3
42,835,-12.452568,131.013741,NT,HFCEV,0,0,0
43,835,-12.452568,131.013741,NT,Hybrid/PHEV,21,28,34
44,836,-12.58487247,131.1272564,NT,ICE,6656,6924,7092
45,836,-12.58487247,131.1272564,NT,BEV,3,3,4
46,836,-12.58487247,131.1272564,NT,HFCEV,0,0,0
47,836,-12.58487247,131.1272564,NT,Hybrid/PHEV,30,53,76
48,837,-12.64187171,131.094044,NT,ICE,475,468,455
49,837,-12.64187171,131.094044,NT,BEV,0,0,0
50,837,-12.64187171,131.094044,NT,HFCEV,0,0,0
51,837,-12.64187171,131.094044,NT,Hybrid/PHEV,3,3,3
52,838,-12.71878122,131.0067348,NT,ICE,808,821,839
53,838,-12.71878122,131.0067348,NT,BEV,0,0,0
54,838,-12.71878122,131.0067348,NT,HFCEV,0,0,0
55,838,-12.71878122,131.0067348,NT,Hybrid/PHEV,6,10,11
56,839,-12.52001124,131.0402017,NT,ICE,345,370,366
57,839,-12.52001124,131.0402017,NT,BEV,0,0,0
58,839,-12.52001124,131.0402017,NT,HFCEV,0,0,0
59,839,-12.52001124,131.0402017,NT,Hybrid/PHEV,5,7,6
60,840,-12.71366907,130.4518371,NT,ICE,419,431,448
61,840,-12.71366907,130.4518371,NT,BEV,0,0,0
62,840,-12.71366907,130.4518371,NT,HFCEV,0,0,0
63,840,-12.71366907,130.4518371,NT,Hybrid/PHEV,0,3,3
64,841,-12.81922863,130.969862,NT,ICE,595,622,633
65,841,-12.81922863,130.969862,NT,BEV,0,0,0
66,841,-12.81922863,130.969862,NT,HFCEV,0,0,0
67,841,-12.81922863,130.969862,NT,Hybrid/PHEV,3,4,5
68,845,-13.045118,131.038475,NT,ICE,429,393,379
69,845,-13.045118,131.038475,NT,BEV,0,0,3
70,845,-13.045118,131.038475,NT,HFCEV,0,0,0
71,845,-13.045118,131.038475,NT,Hybrid/PHEV,3,0,0
72,846,-13.210299,131.095002,NT,ICE,302,296,306
73,846,-13.210299,131.095002,NT,BEV,0,0,0
74,846,-13.210299,131.095002,NT,HFCEV,0,0,0
75,846,-13.210299,131.095002,NT,Hybrid/PHEV,0,0,3
76,847,-14.012122,131.759154,NT,ICE,212,214,200
77,847,-14.012122,131.759154,NT,BEV,0,0,0
78,847,-14.012122,131.759154,NT,HFCEV,0,0,0
79,847,-14.012122,131.759154,NT,Hybrid/PHEV,0,0,0
