,region,powertrain,year,sales
0,Australia,BEV,2011,49
1,Australia,BEV,2012,170
2,Australia,PHEV,2012,80
3,Australia,PHEV,2013,100
4,Australia,BEV,2013,190
5,Australia,BEV,2014,370
6,Australia,PHEV,2014,950
7,Australia,PHEV,2015,1000
8,Australia,BEV,2015,760
9,Australia,BEV,2016,670
10,Australia,PHEV,2016,700
11,Australia,PHEV,2017,1100
12,Australia,BEV,2017,1200
13,Australia,BEV,2018,1800
14,Australia,PHEV,2018,1800
15,Australia,PHEV,2019,2900
16,Australia,BEV,2019,6300
17,Australia,BEV,2020,5200
18,Australia,PHEV,2020,1700
19,Australia,PHEV,2021,3400
20,Australia,BEV,2021,17000
21,Australia,FCEV,2021,44
22,Australia,FCEV,2022,15
23,Australia,BEV,2022,33000
24,Australia,PHEV,2022,5900
25,Australia,PHEV,2023,11000
26,Australia,BEV,2023,87000
27,Australia,FCEV,2023,6
28,Austria,BEV,2013,650
29,Austria,BEV,2014,1700
30,Austria,FCEV,2014,6
31,Austria,FCEV,2015,4
32,Austria,PHEV,2015,1100
33,Austria,BEV,2015,1700
34,Austria,BEV,2016,3800
35,Austria,PHEV,2016,1200
36,Austria,FCEV,2017,2
37,Austria,PHEV,2017,1700
38,Austria,BEV,2017,5400
39,Austria,BEV,2018,6800
40,Austria,PHEV,2018,2300
41,Austria,FCEV,2018,7
42,Austria,FCEV,2019,19
43,Austria,BEV,2019,9300
44,Austria,PHEV,2019,2200
45,Austria,PHEV,2020,7600
46,Austria,BEV,2020,16000
47,Austria,FCEV,2020,14
48,Austria,FCEV,2021,14
49,Austria,BEV,2021,33000
50,Austria,PHEV,2021,15000
51,Austria,PHEV,2022,13000
52,Austria,BEV,2022,34000
53,Austria,FCEV,2022,14
54,Austria,FCEV,2023,9
55,Austria,BEV,2023,48000
56,Austria,PHEV,2023,17000
57,Belgium,BEV,2010,48
58,Belgium,PHEV,2010,8
59,Belgium,PHEV,2011,16
60,Belgium,BEV,2011,280
61,Belgium,BEV,2012,570
62,Belgium,PHEV,2012,340
63,Belgium,PHEV,2013,60
64,Belgium,BEV,2013,500
65,Belgium,BEV,2014,1300
66,Belgium,PHEV,2014,650
