,Vehicle,Consumption (Wh/km)
0,Tesla Model 3,139
1,Hyundai IONIQ 6 Standard Range 2WD,149
2,Hyundai IONIQ 6 Long Range 2WD,149
3,Tesla Model 3 Long Range Dual Motor,150
4,Dacia Spring Electric 45,152
5,Opel Corsa Electric 51 kWh,153
6,Renault Megane E-Tech EV40 130hp,154
7,Citroen e-C4 54 kWh,154
8,Citroen e-C4 X 54 kWh,154
9,Lancia Ypsilon,155
10,Peugeot e-208 51 kWh,155
11,BMW i4 eDrive35,156
12,Dacia Spring Electric 65,156
13,Renault 5 E-Tech 40kWh 95hp,157
14,Renault 5 E-Tech 40kWh 120hp,157
15,Opel Corsa Electric 50 kWh,157
16,Fiat 500e Hatchback 24 kWh,158
17,Fiat 500e 3+1 24 kWh,158
18,Fiat 500e Cabrio 24 kWh,158
19,Renault Twingo Electric,158
20,BMW i4 eDrive40,158
21,Renault Megane E-Tech EV60 130hp,158
22,Renault Megane E-Tech EV60 220hp,158
23,Lucid Air Touring,159
24,Fiat 500e Hatchback 42 kWh,159
25,Fiat 500e 3+1 42 kWh,159
26,Opel Astra Electric,159
27,Alfa Romeo Junior Elettrica 54 kWh,159
28,Citroen e-C4,160
29,Peugeot e-208 50 kWh,160
30,Mini Cooper E,160
31,Skoda Enyaq Coupe 85,160
32,Skoda Enyaq Coupe 60,161
33,Tesla Model 3 Performance,161
34,Fiat 500e Cabrio 42 kWh,162
35,Citroen e-C4 X,162
36,Renault 5 E-Tech 52kWh 150hp,163
37,Volkswagen ID.3 Pure,163
38,Lucid Air Pure RWD,163
39,Tesla Model Y Long Range RWD,163
40,Mini Cooper SE,163
41,BMW iX2 eDrive20,164
42,Volkswagen ID.7 Pro,164
43,Skoda Enyaq Coupe 85x,164
44,Opel Astra Sports Tourer Electric,164
45,Jeep Avenger Electric,164
46,Alfa Romeo Junior Elettrica 54 kWh Veloce,164
47,Volkswagen ID.3 Pro,164
48,Hyundai Kona Electric 48 kWh,164
49,Tesla Model Y,164
50,Tesla Model Y,164
51,BYD SEAL 82.5 kWh RWD Design,165
52,Renault Zoe ZE50 R110,165
53,Tesla Model S Dual Motor,165
54,Volkswagen ID.7 Pro S,165
55,Polestar 2 Standard Range Single Motor,165
56,Volkswagen ID.3 Pro,166
57,CUPRA Born 150 kW - 58 kWh,166
58,BMW iX1 eDrive20,166
59,BMW i4 xDrive40,166
60,Nissan Leaf,166
61,Mini Aceman SE,166
62,Citroen e-C3,166
63,Fiat 600e,167
64,XPENG P7 RWD Long Range,167
65,Volkswagen ID.7 Tourer Pro,167
66,Mini Aceman E,167
67,Hyundai Kona Electric 65 kWh,168
68,Renault Zoe ZE50 R135,168
69,Mercedes-Benz EQA 250+,168
70,Abarth 500e Hatchback,168
71,Abarth 500e Convertible,168
72,Mini Countryman E,168
73,Polestar 2 Long Range Single Motor,168
74,CUPRA Born 170 kW - 58 kWh,168
75,Hyundai IONIQ 6 Long Range AWD,168
76,Kia Niro EV,168
77,Mercedes-Benz EQA 250,168
78,BYD SEAL 82.5 kWh AWD Excellence,168
79,Lucid Air Grand Touring,168
80,Volkswagen ID.7 Tourer Pro S,169
81,Volkswagen ID.3 Pro S - 4 Seats,169
82,Kia EV3 Standard Range,169
83,Skoda Enyaq Coupe RS,169
84,Volkswagen ID.5 Pro,169
85,Peugeot e-2008 54 kWh,169
86,MG MG4 Electric 51 kWh,169
87,Peugeot e-308,169
88,Peugeot e-308 SW,169
89,DS 3 E-Tense,169
90,BYD DOLPHIN 44.9 kWh Active,169
91,Mercedes-Benz EQE 300,170
92,Tesla Model S Plaid,170
93,Porsche Taycan,170
94,Mercedes-Benz EQB 250+,170
95,BMW iX1 xDrive30,170
96,BMW iX2 xDrive30,170
97,Kia e-Soul 39.2 kWh,170
98,Mercedes-Benz EQS 450+,171
99,Volkswagen ID.3 Pro S,171
100,CUPRA Tavascan Endurance,171
101,Skoda Enyaq 85,171
102,CUPRA Born 170 kW - 77 kWh,171
103,MG MG5 Electric Long Range,171
104,MG MG4 Electric 64 kWh,171
105,Aiways U6,171
106,Peugeot e-2008 50 kWh,171
107,CUPRA Born VZ,172
108,Volkswagen ID.3 GTX,172
109,Volkswagen ID.3 GTX Performance,172
110,Tesla Model Y Long Range Dual Motor,172
111,BYD DOLPHIN 44.9 kWh Boost,173
112,BMW i5 eDrive40 Sedan,173
113,BYD DOLPHIN 60.4 kWh,173
114,Mercedes-Benz EQE 350+,173
115,Kia e-Soul 64 kWh,173
116,MG Cyberster Trophy,173
117,Volkswagen ID.4 Pro,173
