,year,powertrain,aus_sales,avg_sales
0,2010,BEV,0,775
1,2011,BEV,49,3260
2,2012,BEV,170,4600
3,2013,BEV,190,8177
4,2014,BEV,370,14002
5,2015,BEV,760,17026
6,2016,BEV,670,22594
7,2017,BEV,1200,36260
8,2018,BEV,1800,63836
9,2019,BEV,6300,70398
10,2020,BEV,5200,102115
11,2021,BEV,17000,219713
12,2022,BEV,33000,334466
13,2023,BEV,87000,435583
14,2010,FCEV,0,17
15,2011,FCEV,0,38
16,2012,FCEV,0,24
17,2013,FCEV,0,22
18,2014,FCEV,0,21
19,2015,FCEV,0,103
20,2016,FCEV,0,364
21,2017,FCEV,0,474
22,2018,FCEV,0,497
23,2019,FCEV,0,769
24,2020,FCEV,0,774
25,2021,FCEV,44,1126
26,2022,FCEV,15,1172
27,2023,FCEV,6,778
28,2010,PHEV,0,138
29,2011,PHEV,0,1106
30,2012,PHEV,80,5330
31,2013,PHEV,100,8290
32,2014,PHEV,950,11049
33,2015,PHEV,1000,16073
34,2016,PHEV,700,19074
35,2017,PHEV,1100,26336
36,2018,PHEV,1800,37215
37,2019,PHEV,2900,31997
38,2020,PHEV,1700,63123
39,2021,PHEV,3400,117719
40,2022,PHEV,5900,158286
41,2023,PHEV,11000,218399
